"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"341",NA,"Sioux Falls, SD MSA",NA,0.92,167900,252234
"342",NA,"South Bend-Mishawaka, IN-MI MSA",NA,0.63,125900,320098
"343",NA,"Spokane-Spokane Valley, WA MSA",NA,0.69,192400,546807
"344",NA,"Springfield, IL MSA",NA,NA,134700,211598
"345",NA,"Springfield, MA MSA",NA,0.59,217200,631982
"346",NA,"Springfield, MO MSA",NA,1.07,137600,455074
"347",NA,"Springfield, OH MSA",NA,0.16,102100,135959
"348",NA,"St. Cloud, MN MSA",NA,0.8,168100,194418
"349",NA,"St. George, UT MSA",NA,0.68,231400,155602
"350",NA,"St. Joseph, MO-KS MSA",NA,NA,112900,127421
"351",NA,"State College, PA MSA",NA,0.79,206600,160580
"352",NA,"Staunton-Waynesboro, VA MSA",NA,0.65,186900,120221
"353",NA,"Stockton-Lodi, CA MSA",NA,0.43,278400,726106
"354",NA,"Sumter, SC MSA",NA,0.27,100900,107480
"355",NA,"Syracuse, NY MSA",NA,0.72,131500,660458
"356",NA,"Tallahassee, FL MSA",NA,NA,160100,378593
"357",NA,"Terre Haute, IN MSA",NA,0.45,87500,172107
"358",NA,"Texarkana, TX-AR MSA",NA,NA,97900,151316
"359",NA,"The Villages, FL MSA",NA,0.13,243500,118891
"360",NA,"Topeka, KS MSA",NA,NA,129200,233791
"361",NA,"Trenton, NJ MSA",NA,1,283600,371398
"362",NA,"Tucson, AZ MSA",NA,0.64,165900,1010025
"363",NA,"Tyler, TX MSA",NA,1.13,145500,222936
"364",NA,"Utica-Rome, NY MSA",NA,0.7,112200,295600
"365",NA,"Valdosta, GA MSA",NA,NA,129800,142202
"366",NA,"Victoria, TX MSA",NA,NA,131400,99040
"367",NA,"Vineland-Bridgeton, NJ MSA",NA,0.4,157300,155854
"368",NA,"Visalia-Porterville, CA MSA",NA,0.32,174300,459863
"369",NA,"Waco, TX MSA",NA,0.49,119300,262425
"370",NA,"Walla Walla, WA MSA",NA,0.62,193200,64056
"371",NA,"Warner Robins, GA MSA",NA,0.22,132800,187953
"372",NA,"Watertown-Fort Drum, NY MSA",NA,0.8,155600,117635
"373",NA,"Wausau, WI MSA",NA,0.28,151500,135868
"374",NA,"Weirton-Steubenville, WV-OH MSA",NA,0.48,88000,121403
"375",NA,"Wenatchee, WA MSA",NA,0.53,248900,116178
"376",NA,"Wheeling, WV-OH MSA",NA,0.59,103900,144198
"377",NA,"Wichita Falls, TX MSA",NA,0.59,98300,150780
"378",NA,"Wichita, KS MSA",NA,NA,127800,644502
"379",NA,"Williamsport, PA MSA",NA,0.47,147500,116048
